Paulista|1|Inter de Limeira|São Bernardo FC|Limeira|São Paulo|Estádio Major José Levy Sobrinho|14/01/2023|09:00|KIT1|Estádio Major José Levy Sobrinho->Estádio Major José Levy Sobrinho|0|0:00
Paulista|1|Portuguesa|Botafogo SP|São Paulo|São Paulo|Estádio Dr. Oswaldo Teixeira Duarte|14/01/2023|13:30|KIT2|Estádio Dr. Oswaldo Teixeira Duarte->Estádio Dr. Oswaldo Teixeira Duarte|0|0:00
Paulista|1|Santo André|Guarani|Santo André|São Paulo|Estádio Bruno José Daniel|14/01/2023|14:00|KIT3|Estádio Bruno José Daniel->Estádio Bruno José Daniel|0|0:00
Paulista|1|Palmeiras|San Bento|São Paulo|São Paulo|Allianz Parque|14/01/2023|16:30|KIT4|Allianz Parque->Allianz Parque|0|0:00
Paulista|1|Santos|Mirassol|Santos|São Paulo|Estádio Urbano Caldeira|14/01/2023|18:30|KIT5|Estádio Urbano Caldeira->Estádio Urbano Caldeira|0|0:00
Paulista|1|Água Santa|Ferroviária|São Paulo|São Paulo|Estádio Distrital do Jardim Inamar|15/01/2023|09:00|KIT6|Estádio Distrital do Jardim Inamar->Estádio Distrital do Jardim Inamar|0|0:00
Paulista|1|Bragantino|Corinthians|Bragança Paulista|São Paulo|Estádio Nabi Abi Chedid|15/01/2023|14:00|KIT7|Estádio Nabi Abi Chedid->Estádio Nabi Abi Chedid|0|0:00
Paulista|1|São Paulo|Ituano|São Paulo|São Paulo|Estádio Cícero Pompeu de Toledo|15/01/2023|16:30|KIT8|Estádio Cícero Pompeu de Toledo->Estádio Cícero Pompeu de Toledo|0|0:00
Paulista|2|San Bento|Santo André|Sorocaba|São Paulo|Estádio Municipal Walter Ribeiro|17/01/2023|13:30|KIT1|Estádio Municipal Walter Ribeiro->Estádio Major José Levy Sobrinho|2023-01-14 17:53:00|2:07
Paulista|2|Mirassol|Inter de Limeira|Mirassol|São Paulo|Estádio José Maria de Campos Maia|17/01/2023|17:30|KIT2|Estádio José Maria de Campos Maia->Estádio Dr. Oswaldo Teixeira Duarte|2023-01-14 18:30:00|5:30
Paulista|2|São Bernardo FC|Bragantino|São Bernardo do Campo|São Paulo|Estádio Primeiro de Maio|18/01/2023|17:00|KIT3|Estádio Primeiro de Maio->Estádio Bruno José Daniel|2023-01-15 22:36:00|0:54
Paulista|2|Corinthians|Água Santa|São Paulo|São Paulo|Neo Química Arena|18/01/2023|17:30|KIT4|Neo Química Arena->Allianz Parque|2023-01-15 19:53:00|4:07
Paulista|2|Ituano|Portuguesa|Itu|São Paulo|Estádio Municipal Dr. Novelli Júnior|18/01/2023|18:30|KIT5|Estádio Municipal Dr. Novelli Júnior->Estádio Urbano Caldeira|2023-01-15 22:05:00|2:55
Paulista|2|Guarani|Santos|Campinas|São Paulo|Estádio Brinco de Ouro da Princesa|18/01/2023|19:35|KIT6|Estádio Brinco de Ouro da Princesa->Estádio Distrital do Jardim Inamar|2023-01-16 00:09:00|1:56
Paulista|2|Ferroviária|São Paulo|Araraquara|São Paulo|Estádio Doutor Adhemar de Barros|19/01/2023|17:30|KIT7|Estádio Doutor Adhemar de Barros->Estádio Nabi Abi Chedid|2023-01-16 20:28:00|3:32
Paulista|2|Botafogo SP|Palmeiras|Ribeirão Preto|São Paulo|Estádio Santa Cruz|19/01/2023|19:30|KIT8|Estádio Santa Cruz->Estádio Cícero Pompeu de Toledo|2023-01-16 22:01:00|3:59
Paulista|3|Água Santa|San Bento|São Paulo|São Paulo|Estádio Distrital do Jardim Inamar|21/01/2023|13:00|KIT1|Estádio Municipal Walter Ribeiro->Estádio Distrital do Jardim Inamar|2023-01-18 17:22:00|2:08
Mineiro|1|Athletic Club|Tombense|São João Del Rei|Minas Gerais|Estádio Joaquim Portugal|21/01/2023|13:00|KIT2|Estádio Joaquim Portugal->Estádio José Maria de Campos Maia|2023-01-18 10:20:00|9:10
Paulista|3|Portuguesa|Bragantino|São Paulo|São Paulo|Estádio Dr. Oswaldo Teixeira Duarte|21/01/2023|13:30|KIT9|Estádio Dr. Oswaldo Teixeira Duarte->Estádio Dr. Oswaldo Teixeira Duarte|0|0:00
Paulista|3|Guarani|Ituano|Campinas|São Paulo|Estádio Brinco de Ouro da Princesa|21/01/2023|14:00|KIT6|Estádio Brinco de Ouro da Princesa->Estádio Brinco de Ouro da Princesa|2023-01-16 00:09:00|0:00
Gaucho|1|Caxias|Grêmio|Caxias do Sul|Rio Grande do Sul|Estádio Francisco Stédile|21/01/2023|14:30|KIT10|Estádio Francisco Stédile->Estádio Francisco Stédile|0|0:00
Mineiro|1|Atlético Mineiro|Caldense|Belo Horizonte|Minas Gerais|Estádio Raimundo Sampaio|21/01/2023|14:30|KIT11|Estádio Raimundo Sampaio->Estádio Raimundo Sampaio|0|0:00
Paulista|3|Inter de Limeira|Corinthians|Limeira|São Paulo|Estádio Major José Levy Sobrinho|21/01/2023|16:30|KIT12|Estádio Major José Levy Sobrinho->Estádio Major José Levy Sobrinho|0|0:00
Gaucho|1|São Luiz|Ypiranga Erechim|Ijuí|Rio Grande do Sul|Estádio 19 de Outubro|21/01/2023|17:00|KIT13|Estádio 19 de Outubro->Estádio 19 de Outubro|0|0:00
Gaucho|1|Internacional|Juventude|Porto Alegre|Rio Grande do Sul|Estádio José Pinheiro Borda|21/01/2023|17:00|KIT14|Estádio José Pinheiro Borda->Estádio José Pinheiro Borda|0|0:00
Mineiro|1|CA Patrocinense|Cruzeiro|Patrocínio|Minas Gerais|Estádio Pedro Alves do Nascimento|21/01/2023|17:00|KIT15|Estádio Pedro Alves do Nascimento->Estádio Pedro Alves do Nascimento|0|0:00
Paulista|3|Palmeiras|São Paulo|São Paulo|São Paulo|Allianz Parque|22/01/2023|14:00|KIT3|Estádio Primeiro de Maio->Allianz Parque|2023-01-19 17:18:00|3:12
Gaucho|1|Brasil de Pelotas|Aimoré|Pelotas|Rio Grande do Sul|Estádio Bento da Silva Freitas|22/01/2023|14:00|KIT4|Estádio Bento da Silva Freitas->Neo Química Arena|2023-01-19 04:16:00|16:14
Gaucho|1|Novo Hamburgo|Avenida|Novo Hamburgo|Rio Grande do Sul|Estádio do Vale|22/01/2023|14:00|KIT5|Estádio do Vale->Estádio Municipal Dr. Novelli Júnior|2023-01-19 06:56:00|13:34
Paulista|3|São Bernardo FC|Santos|São Bernardo do Campo|São Paulo|Estádio Primeiro de Maio|22/01/2023|16:30|KIT16|Estádio Primeiro de Maio->Estádio Primeiro de Maio|0|0:00
Mineiro|1|Pouso Alegre|América Mineiro|Pouso Alegre|Minas Gerais|Estádio Municipal Irmão Gino Maria Rossi|22/01/2023|16:30|KIT17|Estádio Municipal Irmão Gino Maria Rossi->Estádio Municipal Irmão Gino Maria Rossi|0|0:00
Gaucho|1|Esportivo|São José RS|Bento Gonçalves|Rio Grande do Sul|Estádio Parque Esportivo Montanha dos Vinhedos|22/01/2023|17:00|KIT18|Estádio Parque Esportivo Montanha dos Vinhedos->Estádio Parque Esportivo Montanha dos Vinhedos|0|0:00
Paulista|3|Ferroviária|Santo André|Araraquara|São Paulo|Estádio Doutor Adhemar de Barros|22/01/2023|18:30|KIT7|Estádio Doutor Adhemar de Barros->Estádio Doutor Adhemar de Barros|2023-01-16 20:28:00|0:00
Paulista|3|Botafogo SP|Mirassol|Ribeirão Preto|São Paulo|Estádio Santa Cruz|22/01/2023|18:30|KIT8|Estádio Santa Cruz->Estádio Santa Cruz|2023-01-16 22:01:00|0:00
Mineiro|1|Democrata GV|Democrata SL|Governador Valadares|Minas Gerais|Estádio José Mammoud Abbas|23/01/2023|18:30|KIT19|Estádio José Mammoud Abbas->Estádio José Mammoud Abbas|0|0:00
Gaucho|2|Juventude|São Luiz|Caxias do Sul|Rio Grande do Sul|Estádio Alfredo Jaconi|24/01/2023|17:00|KIT10|Estádio Alfredo Jaconi->Estádio Francisco Stédile|2023-01-21 22:52:00|0:38
Paulista|4|Corinthians|Guarani|São Paulo|São Paulo|Neo Química Arena|24/01/2023|18:00|KIT1|Neo Química Arena->Estádio Distrital do Jardim Inamar|2023-01-21 23:21:00|1:09
Paulista|4|Bragantino|Ferroviária|Bragança Paulista|São Paulo|Estádio Nabi Abi Chedid|25/01/2023|17:00|KIT2|Estádio Nabi Abi Chedid->Estádio Joaquim Portugal|2023-01-22 18:07:00|5:23
Gaucho|2|Avenida|Internacional|Santa Cruz do Sul|Rio Grande do Sul|Estádio dos Eucaliptos|25/01/2023|17:00|KIT4|Estádio dos Eucaliptos->Estádio Bento da Silva Freitas|2023-01-22 19:20:00|4:10
Paulista|4|Ituano|Palmeiras|Itu|São Paulo|Estádio Municipal Dr. Novelli Júnior|25/01/2023|17:30|KIT3|Allianz Parque->Estádio Municipal Dr. Novelli Júnior|2023-01-22 21:29:00|2:31
Paulista|4|Santo André|Botafogo SP|Santo André|São Paulo|Estádio Bruno José Daniel|25/01/2023|18:30|KIT6|Estádio Bruno José Daniel->Estádio Brinco de Ouro da Princesa|2023-01-22 22:35:00|2:25
Gaucho|2|Grêmio|Brasil de Pelotas|Porto Alegre|Rio Grande do Sul|Arena do Grêmio|25/01/2023|19:30|KIT5|Arena do Grêmio->Estádio do Vale|2023-01-23 01:00:00|1:00
Paulista|4|Santos|Água Santa|Santos|São Paulo|Estádio Urbano Caldeira|25/01/2023|19:35|KIT9|Estádio Urbano Caldeira->Estádio Dr. Oswaldo Teixeira Duarte|2023-01-23 00:16:00|1:49
Paulista|4|San Bento|Inter de Limeira|Sorocaba|São Paulo|Estádio Municipal Walter Ribeiro|26/01/2023|13:30|KIT7|Estádio Doutor Adhemar de Barros->Estádio Municipal Walter Ribeiro|2023-01-23 16:42:00|3:18
Gaucho|2|São José RS|Caxias|Porto Alegre|Rio Grande do Sul|Estádio Francisco Novelletto Neto|26/01/2023|17:00|KIT8|Estádio Francisco Novelletto Neto->Estádio Santa Cruz|2023-01-23 08:05:00|15:25
Gaucho|2|Ypiranga Erechim|Novo Hamburgo|Erechim|Rio Grande do Sul|Estádio Olímpico Colosso da Lagoa|26/01/2023|17:00|KIT11|Estádio Raimundo Sampaio->Estádio Olímpico Colosso da Lagoa|2023-01-23 05:04:00|18:26
Paulista|4|Mirassol|São Bernardo FC|Mirassol|São Paulo|Estádio José Maria de Campos Maia|26/01/2023|17:30|KIT12|Estádio José Maria de Campos Maia->Estádio Major José Levy Sobrinho|2023-01-23 20:06:00|3:54
Gaucho|2|Aimoré|Esportivo|São Leopoldo|Rio Grande do Sul|Estádio João Corrêa da Silveira|26/01/2023|18:30|KIT13|Estádio 19 de Outubro->Estádio João Corrêa da Silveira|2023-01-23 19:11:00|5:49
Paulista|4|São Paulo|Portuguesa|São Paulo|São Paulo|Estádio Cícero Pompeu de Toledo|26/01/2023|19:30|KIT14|Estádio José Pinheiro Borda->Estádio Cícero Pompeu de Toledo|2023-01-23 12:59:00|13:01
Mineiro|2|Cruzeiro|Athletic Club|Belo Horizonte|Minas Gerais|Estádio Raimundo Sampaio|28/01/2023|08:30|KIT1|Estádio Raimundo Sampaio->Neo Química Arena|2023-01-25 07:45:00|7:15
Mineiro|2|Democrata SL|Pouso Alegre|Sete Lagoas|Minas Gerais|Arena do Jacaré|28/01/2023|14:00|KIT10|Arena do Jacaré->Estádio Alfredo Jaconi|2023-01-25 00:05:00|20:25
Mineiro|2|Caldense|Democrata GV|Poços de Caldas|Minas Gerais|Estádio Dr. Ronaldo Junqueira|28/01/2023|14:00|KIT15|Estádio Dr. Ronaldo Junqueira->Estádio Pedro Alves do Nascimento|2023-01-25 14:11:00|6:19
Gaucho|3|Internacional|São Luiz|Porto Alegre|Rio Grande do Sul|Estádio José Pinheiro Borda|28/01/2023|14:30|KIT16|Estádio José Pinheiro Borda->Estádio Primeiro de Maio|2023-01-25 07:54:00|13:06
Paulista|5|Santos|Ferroviária|São Paulo|São Paulo|Estádio Dr. Oswaldo Teixeira Duarte|28/01/2023|16:30|KIT2|Estádio Nabi Abi Chedid->Estádio Dr. Oswaldo Teixeira Duarte|2023-01-25 21:12:00|1:48
Paulista|5|Bragantino|Santo André|Bragança Paulista|São Paulo|Estádio Nabi Abi Chedid|28/01/2023|18:00|KIT3|Estádio Municipal Dr. Novelli Júnior->Estádio Nabi Abi Chedid|2023-01-25 22:20:00|2:10
Paulista|5|Botafogo SP|Guarani|Ribeirão Preto|São Paulo|Estádio Santa Cruz|28/01/2023|18:40|KIT17|Estádio Municipal Irmão Gino Maria Rossi->Estádio Santa Cruz|2023-01-25 20:35:00|4:35
Mineiro|2|Tombense|Atlético Mineiro|Muriaé|Minas Gerais|Estádio Soares de Azevedo|29/01/2023|09:00|KIT6|Estádio Soares de Azevedo->Estádio Bruno José Daniel|2023-01-26 06:56:00|8:34
Paulista|5|Água Santa|Portuguesa|São Paulo|São Paulo|Estádio Distrital do Jardim Inamar|29/01/2023|13:00|KIT4|Estádio Distrital do Jardim Inamar->Estádio dos Eucaliptos|2023-01-26 04:12:00|15:18
Paulista|5|São Bernardo FC|San Bento|São Bernardo do Campo|São Paulo|Estádio Primeiro de Maio|29/01/2023|14:00|KIT5|Arena do Grêmio->Estádio Primeiro de Maio|2023-01-26 07:25:00|13:05
Paulista|5|Inter de Limeira|Ituano|Limeira|São Paulo|Estádio Major José Levy Sobrinho|29/01/2023|14:00|KIT7|Estádio Municipal Walter Ribeiro->Estádio Major José Levy Sobrinho|2023-01-26 18:23:00|2:07
Gaucho|3|Esportivo|Brasil de Pelotas|Bento Gonçalves|Rio Grande do Sul|Estádio Parque Esportivo Montanha dos Vinhedos|29/01/2023|14:00|KIT9|Estádio Urbano Caldeira->Estádio Parque Esportivo Montanha dos Vinhedos|2023-01-26 06:14:00|14:16
Gaucho|3|Avenida|Ypiranga Erechim|Santa Cruz do Sul|Rio Grande do Sul|Estádio dos Eucaliptos|29/01/2023|14:00|KIT18|Estádio dos Eucaliptos->Estádio Parque Esportivo Montanha dos Vinhedos|2023-01-26 17:35:00|2:55
Paulista|5|São Paulo|Corinthians|São Paulo|São Paulo|Estádio Cícero Pompeu de Toledo|29/01/2023|16:30|KIT14|Estádio Cícero Pompeu de Toledo->Estádio Cícero Pompeu de Toledo|2023-01-23 12:59:00|0:00
Mineiro|2|América Mineiro|Villa Nova|Belo Horizonte|Minas Gerais|Estádio Raimundo Sampaio|29/01/2023|16:30|KIT1|Estádio Raimundo Sampaio->Estádio Raimundo Sampaio|2023-01-25 07:45:00|0:00
Gaucho|3|Caxias|Aimoré|Caxias do Sul|Rio Grande do Sul|Estádio Francisco Stédile|29/01/2023|17:00|KIT8|Estádio Francisco Stédile->Estádio Francisco Novelletto Neto|2023-01-26 20:32:00|2:58
Gaucho|3|São José RS|Grêmio|Porto Alegre|Rio Grande do Sul|Estádio Francisco Novelletto Neto|29/01/2023|18:30|KIT13|Estádio João Corrêa da Silveira->Estádio Francisco Novelletto Neto|2023-01-26 23:48:00|1:12
Gaucho|3|Novo Hamburgo|Juventude|Novo Hamburgo|Rio Grande do Sul|Estádio do Vale|30/01/2023|18:00|KIT11|Estádio Olímpico Colosso da Lagoa->Estádio do Vale|2023-01-27 18:40:00|5:50
Gaucho|4|Aimoré|São José RS|São Leopoldo|Rio Grande do Sul|Estádio João Corrêa da Silveira|01/02/2023|17:00|KIT2|Estádio Dr. Oswaldo Teixeira Duarte->Estádio João Corrêa da Silveira|2023-01-29 09:44:00|13:46
Gaucho|4|Esportivo|Grêmio|Bento Gonçalves|Rio Grande do Sul|Estádio Parque Esportivo Montanha dos Vinhedos|01/02/2023|18:00|KIT3|Estádio Nabi Abi Chedid->Estádio Parque Esportivo Montanha dos Vinhedos|2023-01-29 09:18:00|15:12
Gaucho|4|Brasil de Pelotas|Caxias|Pelotas|Rio Grande do Sul|Estádio Bento da Silva Freitas|01/02/2023|19:30|KIT8|Estádio Bento da Silva Freitas->Estádio Francisco Stédile|2023-01-29 20:13:00|5:47
Paulista|5|Mirassol|Palmeiras|Mirassol|São Paulo|Estádio José Maria de Campos Maia|01/02/2023|19:35|KIT4|Estádio José Maria de Campos Maia->Estádio Distrital do Jardim Inamar|2023-01-29 20:35:00|5:30
Gaucho|4|Internacional|Ypiranga Erechim|Porto Alegre|Rio Grande do Sul|Estádio José Pinheiro Borda|02/02/2023|14:30|KIT1|Estádio José Pinheiro Borda->Estádio Raimundo Sampaio|2023-01-30 01:38:00|19:22
Gaucho|4|São Luiz|Novo Hamburgo|Ijuí|Rio Grande do Sul|Estádio 19 de Outubro|02/02/2023|17:00|KIT5|Estádio 19 de Outubro->Estádio Primeiro de Maio|2023-01-30 08:23:00|15:07
Gaucho|4|Juventude|Avenida|Caxias do Sul|Rio Grande do Sul|Estádio Alfredo Jaconi|02/02/2023|18:00|KIT6|Estádio Alfredo Jaconi->Estádio Soares de Azevedo|2023-01-30 02:58:00|21:32
Mineiro|3|Democrata GV|Athletic Club|Governador Valadares|Minas Gerais|Estádio José Mammoud Abbas|03/02/2023|18:30|KIT7|Estádio José Mammoud Abbas->Estádio Major José Levy Sobrinho|2023-01-31 12:58:00|12:02
Paulista|6|San Bento|Mirassol|Sorocaba|São Paulo|Estádio Municipal Walter Ribeiro|04/02/2023|13:30|KIT9|Estádio Municipal Walter Ribeiro->Estádio Parque Esportivo Montanha dos Vinhedos|2023-02-01 05:46:00|14:14
Paulista|6|Guarani|Bragantino|Campinas|São Paulo|Estádio Brinco de Ouro da Princesa|04/02/2023|14:00|KIT10|Estádio Brinco de Ouro da Princesa->Arena do Jacaré|2023-02-01 13:15:00|7:15
Paulista|6|Ferroviária|São Bernardo FC|Araraquara|São Paulo|Estádio Doutor Adhemar de Barros|04/02/2023|14:00|KIT11|Estádio do Vale->Estádio Doutor Adhemar de Barros|2023-02-01 04:54:00|15:36
Mineiro|3|Democrata SL|Villa Nova|Sete Lagoas|Minas Gerais|Arena do Jacaré|04/02/2023|14:00|KIT12|Arena do Jacaré->Estádio José Maria de Campos Maia|2023-02-01 11:05:00|9:25
Gaucho|5|Grêmio|Aimoré|Porto Alegre|Rio Grande do Sul|Arena do Grêmio|04/02/2023|14:30|KIT2|Estádio João Corrêa da Silveira->Arena do Grêmio|2023-02-01 20:00:00|1:00
Mineiro|3|América Mineiro|Cruzeiro|Brasília|Distrito Federal|Arena BRB Mané Garrincha|04/02/2023|14:30|KIT13|Estádio Francisco Novelletto Neto->Arena BRB Mané Garrincha|2023-01-31 21:46:00|23:14
